deal No,dummy,dummy,dateTime,The number of Product A bought ,The number of Product B bought 
1,-,-,05 May 2021,52,19
2,-,-,05 June 2021,58,30
3,-,-,05 December 2021,48,11
4,-,-,5/13/2021,59,17
5,-,-,5/14/2021,24,4
6,-,-,5/20/2021,27,3
7,-,-,5/21/2021,0,0
8,-,-,05 February 2021,8,0
9,-,-,05 March 2021,5,1
10,-,-,05 September 2021,37,10
11,-,-,05 October 2021,24,3
12,-,-,5/17/2021,16,3
13,-,-,5/18/2021,38,6
14,-,-,5/25/2021,98,5
15,-,-,5/30/2021,18,3
16,-,-,5/31/2021,2,0
17,-,-,05 February 2021,27,5
18,-,-,05 July 2021,19,6
19,-,-,05 August 2021,56,12
20,-,-,5/15/2021,19,8
21,-,-,5/16/2021,22,1
22,-,-,5/26/2021,71,14
23,-,-,5/27/2021,129,18
24,-,-,5/29/2021,36,17
25,-,-,5/30/2021,62,18
26,-,-,05 March 2021,29,3
27,-,-,05 April 2021,0,0
28,-,-,05 October 2021,21,12
29,-,-,05 November 2021,16,16
30,-,-,5/17/2021,92,28
31,-,-,5/18/2021,125,48
32,-,-,5/19/2021,88,22
33,-,-,5/20/2021,145,43
34,-,-,5/21/2021,1,1
35,-,-,5/25/2021,35,4
36,-,-,5/26/2021,2,0
37,-,-,5/31/2021,17,2
38,-,-,05 January 2021,31,16
39,-,-,05 February 2021,70,6
40,-,-,05 December 2021,48,6
41,-,-,5/13/2021,37,4
42,-,-,5/15/2021,102,47
43,-,-,5/16/2021,72,29
44,-,-,5/23/2021,37,6
45,-,-,5/24/2021,1,0
46,-,-,5/30/2021,6,5
47,-,-,05 January 2021,32,7
48,-,-,05 February 2021,8,1
49,-,-,05 August 2021,1,2
50,-,-,05 September 2021,18,2
51,-,-,5/13/2021,85,27
52,-,-,5/14/2021,139,9
53,-,-,05 April 2021,39,15
54,-,-,05 May 2021,37,2
55,-,-,05 November 2021,11,2
56,-,-,05 December 2021,62,5
57,-,-,5/18/2021,37,4
58,-,-,5/19/2021,5,2
59,-,-,5/27/2021,6,2
60,-,-,5/28/2021,27,6
61,-,-,05 December 2021,55,3
62,-,-,5/14/2021,2,4
63,-,-,5/15/2021,0,0
64,-,-,5/23/2021,106,10
65,-,-,5/24/2021,18,1
66,-,-,5/29/2021,22,14
67,-,-,05 January 2021,234,25
68,-,-,05 February 2021,176,19
69,-,-,05 March 2021,291,24
70,-,-,05 April 2021,6,1
71,-,-,5/14/2021,3,1
72,-,-,5/15/2021,62,7
73,-,-,5/22/2021,3,1
74,-,-,5/23/2021,29,4
75,-,-,5/29/2021,1,0
76,-,-,05 April 2021,27,6
77,-,-,05 September 2021,17,11
78,-,-,05 October 2021,7,4
79,-,-,5/15/2021,35,5
80,-,-,5/16/2021,61,5
81,-,-,5/25/2021,7,2
82,-,-,5/26/2021,0,0
83,-,-,5/30/2021,30,17
84,-,-,05 March 2021,53,16
85,-,-,05 April 2021,1,0
86,-,-,05 September 2021,14,5
87,-,-,5/16/2021,32,2
88,-,-,5/17/2021,0,0
89,-,-,5/24/2021,19,1
90,-,-,5/25/2021,1,0
91,-,-,5/30/2021,32,2
92,-,-,05 May 2021,28,1
93,-,-,05 June 2021,48,4
94,-,-,05 July 2021,52,4
95,-,-,05 August 2021,47,3
96,-,-,05 September 2021,0,0
97,-,-,05 December 2021,31,2
98,-,-,5/13/2021,21,2
99,-,-,5/19/2021,66,23
100,-,-,5/20/2021,120,56
101,-,-,5/21/2021,97,52
102,-,-,5/22/2021,44,29
103,-,-,5/23/2021,42,29
104,-,-,5/24/2021,88,33
105,-,-,5/25/2021,48,18
106,-,-,5/26/2021,71,18
107,-,-,5/27/2021,52,22
108,-,-,5/28/2021,51,28
109,-,-,5/29/2021,41,4
110,-,-,5/30/2021,6,3
111,-,-,05 February 2021,41,4
112,-,-,05 July 2021,24,17
113,-,-,5/14/2021,1,1
114,-,-,5/15/2021,0,0
115,-,-,5/22/2021,31,1
116,-,-,5/23/2021,0,0
117,-,-,05 August 2021,19,13
118,-,-,05 September 2021,20,13
119,-,-,05 November 2021,0,0
120,-,-,05 December 2021,0,0
121,-,-,5/19/2021,21,1
122,-,-,5/20/2021,4,0
123,-,-,5/26/2021,133,17
124,-,-,5/27/2021,34,5
125,-,-,5/28/2021,0,0
126,-,-,05 June 2021,22,15
127,-,-,05 July 2021,57,6
128,-,-,5/13/2021,3,0
129,-,-,5/14/2021,19,1
130,-,-,5/19/2021,9,1
131,-,-,5/20/2021,40,6
132,-,-,05 April 2021,46,10
133,-,-,05 May 2021,88,8
134,-,-,05 June 2021,109,10
135,-,-,05 July 2021,18,1
136,-,-,05 October 2021,21,1
137,-,-,05 November 2021,37,6
138,-,-,05 December 2021,32,4
139,-,-,5/21/2021,42,2
140,-,-,5/25/2021,7,2
141,-,-,5/26/2021,53,2
142,-,-,5/31/2021,29,12
143,-,-,05 January 2021,29,2
144,-,-,05 July 2021,38,7
145,-,-,5/14/2021,33,1
146,-,-,5/22/2021,5,0
147,-,-,5/23/2021,58,4
148,-,-,05 January 2021,0,0
149,-,-,05 June 2021,47,7
150,-,-,05 July 2021,1,0
151,-,-,5/14/2021,109,7
152,-,-,5/23/2021,10,6
153,-,-,05 September 2021,8,1
154,-,-,05 October 2021,43,15
155,-,-,5/18/2021,2,0
156,-,-,5/19/2021,37,3
157,-,-,5/20/2021,16,2
158,-,-,5/21/2021,17,4
159,-,-,5/22/2021,43,4
160,-,-,5/23/2021,15,2
161,-,-,5/24/2021,29,5
162,-,-,5/25/2021,17,3
163,-,-,5/26/2021,46,5
164,-,-,5/27/2021,44,9
165,-,-,5/28/2021,32,3
166,-,-,5/29/2021,32,8
167,-,-,5/30/2021,8,2
168,-,-,05 January 2021,20,4
169,-,-,05 July 2021,9,1
170,-,-,05 August 2021,34,3
171,-,-,5/14/2021,4,3
172,-,-,5/15/2021,0,0
173,-,-,5/23/2021,36,2
174,-,-,5/24/2021,0,0
175,-,-,5/29/2021,39,2
176,-,-,05 February 2021,45,3
177,-,-,05 March 2021,69,6
178,-,-,05 April 2021,1,0
179,-,-,05 August 2021,19,6
180,-,-,05 September 2021,6,2
181,-,-,5/16/2021,0,0
182,-,-,5/17/2021,14,6
183,-,-,5/18/2021,10,8
184,-,-,5/23/2021,23,22
185,-,-,5/29/2021,53,2
186,-,-,5/30/2021,39,2
187,-,-,05 March 2021,76,11
188,-,-,05 April 2021,1,0
189,-,-,05 November 2021,9,6
190,-,-,05 December 2021,6,0
191,-,-,5/31/2021,11,10
192,-,-,05 June 2021,9,0
193,-,-,5/17/2021,0,0
194,-,-,05 March 2021,0,0
195,-,-,5/15/2021,30,2
196,-,-,5/16/2021,144,58
197,-,-,5/19/2021,0,0
198,-,-,5/21/2021,38,1
199,-,-,5/22/2021,144,15
200,-,-,5/29/2021,0,0
201,-,-,5/30/2021,27,10
202,-,-,05 March 2021,37,11
203,-,-,05 April 2021,3,2
204,-,-,5/16/2021,50,5
205,-,-,5/24/2021,43,2
206,-,-,5/30/2021,128,3
207,-,-,5/31/2021,325,15
208,-,-,05 December 2021,32,26
209,-,-,5/13/2021,79,11
210,-,-,5/19/2021,5,1
211,-,-,5/20/2021,36,5
212,-,-,5/27/2021,24,3
213,-,-,5/28/2021,83,20
214,-,-,5/29/2021,51,20
215,-,-,05 April 2021,25,6
216,-,-,05 November 2021,2,1
217,-,-,05 December 2021,38,4
218,-,-,5/18/2021,5,0
219,-,-,5/19/2021,31,14
220,-,-,5/26/2021,5,1
221,-,-,05 January 2021,19,14
222,-,-,05 July 2021,39,3
223,-,-,05 August 2021,68,6
224,-,-,5/15/2021,24,10
225,-,-,5/16/2021,198,11
226,-,-,5/22/2021,15,3
227,-,-,5/29/2021,56,3
228,-,-,5/30/2021,0,0
229,-,-,05 January 2021,28,8
230,-,-,05 February 2021,36,25
231,-,-,5/30/2021,0,0
232,-,-,5/31/2021,30,4
233,-,-,05 March 2021,36,4
234,-,-,05 April 2021,0,0
235,-,-,05 September 2021,39,29
236,-,-,05 October 2021,136,19
237,-,-,5/16/2021,5,2
238,-,-,5/17/2021,20,2
239,-,-,5/25/2021,88,5
240,-,-,5/26/2021,123,12
241,-,-,5/31/2021,30,2
242,-,-,05 July 2021,97,8
243,-,-,05 August 2021,0,0
244,-,-,5/15/2021,44,30
245,-,-,5/16/2021,0,0
246,-,-,5/22/2021,48,3
247,-,-,5/29/2021,35,4
248,-,-,5/30/2021,14,1
249,-,-,05 March 2021,40,5
250,-,-,05 April 2021,19,2
251,-,-,05 October 2021,12,3
252,-,-,05 January 2021,37,2
253,-,-,05 August 2021,41,3
254,-,-,05 September 2021,90,17
255,-,-,05 October 2021,96,15
256,-,-,05 November 2021,97,14
257,-,-,05 December 2021,68,7
258,-,-,5/13/2021,84,10
259,-,-,5/14/2021,76,7
260,-,-,5/15/2021,87,9
261,-,-,5/16/2021,68,6
262,-,-,5/17/2021,67,8
263,-,-,5/18/2021,22,3
264,-,-,5/19/2021,71,19
265,-,-,5/26/2021,6,3
266,-,-,5/27/2021,6,2
267,-,-,05 April 2021,31,18
268,-,-,05 May 2021,41,2
269,-,-,05 December 2021,11,1
270,-,-,5/13/2021,31,5
271,-,-,5/14/2021,66,6
272,-,-,5/15/2021,43,5
273,-,-,5/16/2021,59,10
274,-,-,5/17/2021,42,4
275,-,-,5/18/2021,69,7
276,-,-,05 March 2021,17,6
277,-,-,05 April 2021,40,3
278,-,-,05 September 2021,49,6
279,-,-,05 October 2021,84,5
280,-,-,5/17/2021,93,26
281,-,-,5/18/2021,54,15
282,-,-,5/24/2021,15,3
283,-,-,5/25/2021,37,4
284,-,-,5/31/2021,21,4
285,-,-,05 May 2021,41,2
286,-,-,05 June 2021,145,11
287,-,-,05 September 2021,31,2
288,-,-,05 October 2021,56,7
289,-,-,5/16/2021,10,2
290,-,-,5/17/2021,19,11
291,-,-,5/31/2021,59,49
292,-,-,5/27/2021,17,2
293,-,-,5/28/2021,3,0
294,-,-,05 January 2021,34,1
295,-,-,05 February 2021,3,1
296,-,-,05 March 2021,23,2
297,-,-,05 April 2021,0,0
298,-,-,05 October 2021,52,2
299,-,-,05 November 2021,3,0
300,-,-,5/15/2021,83,11
301,-,-,5/16/2021,164,9
302,-,-,5/22/2021,31,2
303,-,-,5/23/2021,6,0
304,-,-,5/29/2021,8,1
305,-,-,5/30/2021,0,0
306,-,-,05 January 2021,146,10
307,-,-,05 August 2021,1,0
308,-,-,05 September 2021,0,0
309,-,-,5/14/2021,79,5
310,-,-,5/15/2021,64,14
311,-,-,5/21/2021,34,4
312,-,-,5/22/2021,180,14
313,-,-,5/29/2021,32,2
314,-,-,5/30/2021,1,0
315,-,-,05 June 2021,16,3
316,-,-,05 July 2021,59,10
317,-,-,05 August 2021,40,3
318,-,-,5/14/2021,57,3
319,-,-,5/15/2021,39,2
320,-,-,5/16/2021,25,2
321,-,-,5/17/2021,40,2
322,-,-,5/18/2021,1,0
323,-,-,5/21/2021,46,4
324,-,-,5/22/2021,72,6
325,-,-,5/31/2021,67,13
326,-,-,05 January 2021,13,1
327,-,-,05 February 2021,74,8
328,-,-,05 March 2021,39,4
329,-,-,05 April 2021,41,5
330,-,-,05 May 2021,8,2
331,-,-,05 June 2021,24,2
332,-,-,05 September 2021,31,2
333,-,-,05 October 2021,153,11
334,-,-,5/15/2021,7,1
335,-,-,5/16/2021,56,6
336,-,-,5/23/2021,12,0
337,-,-,5/24/2021,20,1
338,-,-,5/30/2021,11,2
339,-,-,5/31/2021,3,0
340,-,-,05 February 2021,15,18
341,-,-,05 September 2021,59,83
342,-,-,05 October 2021,73,162
343,-,-,5/14/2021,65,14
344,-,-,5/15/2021,51,4
345,-,-,5/16/2021,0,0
346,-,-,5/21/2021,1,0
347,-,-,5/22/2021,40,3
348,-,-,5/23/2021,0,0
349,-,-,5/29/2021,18,21
350,-,-,5/30/2021,0,0
351,-,-,05 April 2021,24,7
352,-,-,05 May 2021,33,1
353,-,-,5/13/2021,52,20
354,-,-,5/14/2021,44,2
355,-,-,5/19/2021,32,11
356,-,-,5/20/2021,4,1
357,-,-,5/27/2021,20,4
358,-,-,5/28/2021,1,1
359,-,-,5/29/2021,0,0
360,-,-,05 February 2021,33,22
361,-,-,05 August 2021,48,6
362,-,-,05 September 2021,86,6
363,-,-,5/15/2021,61,4
364,-,-,5/16/2021,129,13
365,-,-,5/17/2021,31,2
366,-,-,5/23/2021,54,2
367,-,-,5/29/2021,9,1
368,-,-,5/30/2021,32,0
369,-,-,05 May 2021,36,16
370,-,-,5/13/2021,9,7
371,-,-,5/14/2021,19,1
372,-,-,5/15/2021,0,0
373,-,-,5/17/2021,69,9
374,-,-,5/18/2021,55,12
375,-,-,5/19/2021,72,6
376,-,-,5/20/2021,0,0
377,-,-,5/25/2021,23,2
378,-,-,5/31/2021,2,1
379,-,-,05 February 2021,2,1
380,-,-,05 March 2021,13,1
381,-,-,05 September 2021,5,5
382,-,-,05 October 2021,0,0
383,-,-,5/16/2021,28,4
384,-,-,5/17/2021,42,3
385,-,-,5/24/2021,46,7
386,-,-,05 May 2021,32,4
387,-,-,05 December 2021,1,0
388,-,-,5/13/2021,21,2
389,-,-,5/19/2021,114,8
390,-,-,5/20/2021,111,9
391,-,-,5/21/2021,1,0
392,-,-,5/28/2021,27,3
393,-,-,05 July 2021,30,1
394,-,-,05 August 2021,135,9
395,-,-,5/14/2021,0,0
396,-,-,5/21/2021,8,0
397,-,-,5/22/2021,54,4
398,-,-,05 February 2021,30,2
399,-,-,05 March 2021,62,6
400,-,-,05 September 2021,14,3
