deal No,dummy,dummy,dateTime,The number of Product A bought ,The number of Product B bought 
1,-,-,44321,52,19
2,-,-,44352,58,30
3,-,-,44535,48,11
4,-,-,5/13/2021,59,17
5,-,-,5/14/2021,24,4
6,-,-,5/20/2021,27,3
7,-,-,5/21/2021,0,0
8,-,-,44232,8,0
9,-,-,44260,5,1
10,-,-,44444,37,10
11,-,-,44474,24,3
12,-,-,5/17/2021,16,3
13,-,-,5/18/2021,38,6
14,-,-,5/25/2021,98,5
15,-,-,5/30/2021,18,3
16,-,-,5/31/2021,2,0
17,-,-,44232,27,5
18,-,-,44382,19,6
19,-,-,44413,56,12
20,-,-,5/15/2021,19,8
21,-,-,5/16/2021,22,1
22,-,-,5/26/2021,71,14
23,-,-,5/27/2021,129,18
24,-,-,5/29/2021,36,17
25,-,-,5/30/2021,62,18
26,-,-,44260,29,3
27,-,-,44291,0,0
28,-,-,44474,21,12
29,-,-,44505,16,16
30,-,-,5/17/2021,92,28
31,-,-,5/18/2021,125,48
32,-,-,5/19/2021,88,22
33,-,-,5/20/2021,145,43
34,-,-,5/21/2021,1,1
35,-,-,5/25/2021,35,4
36,-,-,5/26/2021,2,0
37,-,-,5/31/2021,17,2
38,-,-,44201,31,16
39,-,-,44232,70,6
40,-,-,44535,48,6
41,-,-,5/13/2021,37,4
42,-,-,5/15/2021,102,47
43,-,-,5/16/2021,72,29
44,-,-,5/23/2021,37,6
45,-,-,5/24/2021,1,0
46,-,-,5/30/2021,6,5
47,-,-,44201,32,7
48,-,-,44232,8,1
49,-,-,44413,1,2
50,-,-,44444,18,2
51,-,-,5/13/2021,85,27
52,-,-,5/14/2021,139,9
53,-,-,44291,39,15
54,-,-,44321,37,2
55,-,-,44505,11,2
56,-,-,44535,62,5
57,-,-,5/18/2021,37,4
58,-,-,5/19/2021,5,2
59,-,-,5/27/2021,6,2
60,-,-,5/28/2021,27,6
61,-,-,44535,55,3
62,-,-,5/14/2021,2,4
63,-,-,5/15/2021,0,0
64,-,-,5/23/2021,106,10
65,-,-,5/24/2021,18,1
66,-,-,5/29/2021,22,14
67,-,-,44201,234,25
68,-,-,44232,176,19
69,-,-,44260,291,24
70,-,-,44291,6,1
71,-,-,5/14/2021,3,1
72,-,-,5/15/2021,62,7
73,-,-,5/22/2021,3,1
74,-,-,5/23/2021,29,4
75,-,-,5/29/2021,1,0
76,-,-,44291,27,6
77,-,-,44444,17,11
78,-,-,44474,7,4
79,-,-,5/15/2021,35,5
80,-,-,5/16/2021,61,5
81,-,-,5/25/2021,7,2
82,-,-,5/26/2021,0,0
83,-,-,5/30/2021,30,17
84,-,-,44260,53,16
85,-,-,44291,1,0
86,-,-,44444,14,5
87,-,-,5/16/2021,32,2
88,-,-,5/17/2021,0,0
89,-,-,5/24/2021,19,1
90,-,-,5/25/2021,1,0
91,-,-,5/30/2021,32,2
92,-,-,44321,28,1
93,-,-,44352,48,4
94,-,-,44382,52,4
95,-,-,44413,47,3
96,-,-,44444,0,0
97,-,-,44535,31,2
98,-,-,5/13/2021,21,2
99,-,-,5/19/2021,66,23
100,-,-,5/20/2021,120,56
101,-,-,5/21/2021,97,52
102,-,-,5/22/2021,44,29
103,-,-,5/23/2021,42,29
104,-,-,5/24/2021,88,33
105,-,-,5/25/2021,48,18
106,-,-,5/26/2021,71,18
107,-,-,5/27/2021,52,22
108,-,-,5/28/2021,51,28
109,-,-,5/29/2021,41,4
110,-,-,5/30/2021,6,3
111,-,-,44232,41,4
112,-,-,44382,24,17
113,-,-,5/14/2021,1,1
114,-,-,5/15/2021,0,0
115,-,-,5/22/2021,31,1
116,-,-,5/23/2021,0,0
117,-,-,44413,19,13
118,-,-,44444,20,13
119,-,-,44505,0,0
120,-,-,44535,0,0
121,-,-,5/19/2021,21,1
122,-,-,5/20/2021,4,0
123,-,-,5/26/2021,133,17
124,-,-,5/27/2021,34,5
125,-,-,5/28/2021,0,0
126,-,-,44352,22,15
127,-,-,44382,57,6
128,-,-,5/13/2021,3,0
129,-,-,5/14/2021,19,1
130,-,-,5/19/2021,9,1
131,-,-,5/20/2021,40,6
132,-,-,44291,46,10
133,-,-,44321,88,8
134,-,-,44352,109,10
135,-,-,44382,18,1
136,-,-,44474,21,1
137,-,-,44505,37,6
138,-,-,44535,32,4
139,-,-,5/21/2021,42,2
140,-,-,5/25/2021,7,2
141,-,-,5/26/2021,53,2
142,-,-,5/31/2021,29,12
143,-,-,44201,29,2
